X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
9.0284700,45.3791900,3,50,0,0
10.5080000,45.5916900,2,,0,0
11.6644200,45.4498600,1,50,0,0
11.2724200,44.4744700,2,,0,0
8.6407500,44.9887800,1,90,0,0
9.2302800,45.5472200,1,70,0,0
12.1362800,41.9358600,1,80,0,0
9.3520300,44.3304200,3,50,0,0
7.6400000,45.1246400,3,50,0,0
8.2548900,45.1182500,1,90,0,0
11.0863300,43.3870300,1,50,0,0
11.0935000,43.4228900,1,50,0,0
11.1378900,43.4273100,1,70,0,0
12.4720600,42.3756100,1,70,0,0
10.4701100,45.4746100,1,50,0,0
11.5213600,45.4188300,1,70,0,0
13.4295000,42.0035800,1,50,0,0
13.5022200,43.2756700,1,50,0,0
13.5058300,43.2760000,1,50,0,0
9.3503600,44.3255300,2,,0,0
7.5437500,45.2600300,2,,0,0
8.0022800,45.4436900,2,,0,0
10.2111700,45.2999700,2,,0,0
8.1207800,45.5061100,2,,0,0
8.7786700,45.5801100,2,,0,0
8.9715000,45.7831900,2,,0,0
8.9662800,45.7838300,2,,0,0
9.2234200,45.7539400,2,,0,0
14.3727500,41.1279200,2,,0,0
16.0712800,39.1320600,2,,0,0
18.3103100,40.3678900,2,,0,0
11.2925000,44.4863300,2,,0,0
13.0645800,42.0922800,4,130,0,0
12.7806700,41.9225800,4,130,0,0
13.3982800,42.0634400,4,130,0,0
13.8655300,42.0973100,4,130,0,0
13.4385800,42.3752200,4,130,0,0
13.2841400,42.1792800,4,130,0,0
8.6770600,46.0216400,1,60,0,0
10.6293600,43.6475000,1,50,0,0
12.4700300,42.3671700,1,70,0,0
11.3277800,43.7485300,1,50,0,0
13.7030000,41.2576700,3,50,0,0
10.6731900,43.8158100,2,,0,0
9.0538100,45.4127800,2,,0,0
9.8898600,45.6006700,2,,0,0
11.5753300,45.6422200,2,,0,0
9.5841700,45.7222200,2,,0,0
11.7913900,45.6296400,1,50,0,0
9.0462800,45.5381700,2,,0,0
9.1383300,39.2249200,1,70,0,0
12.8413100,45.9549200,2,,0,0
11.8733300,43.4992500,1,50,0,0
9.1538900,45.1815300,2,,0,0
11.2624400,44.4919700,1,90,0,0
10.7443900,43.7997200,1,50,0,0
10.7806700,43.7883300,1,50,0,0
11.1102200,44.2804400,2,,0,0
11.1102800,44.2811100,2,,0,0
11.8362800,43.4757800,1,50,0,0
11.1281900,44.5125000,2,,0,0
9.4095000,45.6527200,2,,0,0
11.8637500,44.2798900,2,,0,0
13.8640600,42.1150000,4,130,0,0
13.4198900,42.0565000,4,130,0,0
11.0339400,44.4789700,2,,0,0
11.0205000,44.5318100,2,,0,0
10.9272500,44.6222500,2,,0,0
7.6439200,45.1196400,3,50,0,0
9.0711900,45.4174700,2,,0,0
9.0888300,45.4327200,2,,0,0
9.0900300,45.4332800,2,,0,0
9.1448600,45.1711400,2,,0,0
9.1893900,45.3678100,2,,0,0
10.1928600,45.4199400,2,,0,0
8.7835600,45.5558600,2,,0,0
